player,team,stage
BlueLaGoons,ESP,semi
BlueLaGoons,ESP,final
BlueLaGoons,SUI,R32
BlueLaGoons,SUI,R16
BlueLaGoons,SUI,quarter
Mikey,ARG,R32
Mikey,ARG,R16
Mikey,ARG,quarter
Mikey,ARG,semi
Mikey,ARG,third
Mikey,AUS,R32
Mikey,AUS,R16
Mikey,AUT,R32
Mikey,BEL,R32
Mikey,BEL,R16
Mikey,BIH,R32
Mikey,BIH,R16
Mikey,BRA,R32
Mikey,BRA,R16
Mikey,BRA,quarter
Mikey,BRA,semi
Mikey,BRA,final
Mikey,COL,R32
Mikey,COL,R16
Mikey,CRO,R32
Mikey,CRO,R16
Mikey,CRO,quarter
Mikey,ECU,R32
Mikey,ECU,R16
Mikey,EGY,R32
Mikey,ENG,R32
Mikey,FRA,R32
Mikey,FRA,R16
Mikey,FRA,quarter
Mikey,FRA,semi
Mikey,GER,R32
Mikey,GER,R16
Mikey,CIV,R32
Mikey,JPN,R32
Mikey,MEX,R32
Mikey,MEX,R16
Mikey,MAR,R32
Mikey,NED,R32
Mikey,NED,R16
Mikey,NED,quarter
Mikey,NOR,R32
Mikey,PAR,R32
Mikey,PAR,R16
Mikey,PAR,quarter
Mikey,POR,R32
Mikey,POR,R16
Mikey,POR,quarter
Mikey,SEN,R32
Mikey,ESP,R32
Mikey,ESP,R16
Mikey,ESP,quarter
Mikey,ESP,semi
Mikey,ESP,final
Mikey,ESP,winner
Mikey,SWE,R32
Mikey,SUI,R32
Mikey,SUI,R16
Mikey,USA,R32
Smith,ALG,R32
Smith,ARG,R32
Smith,ARG,R16
Smith,ARG,quarter
Smith,ARG,semi
Smith,ARG,final
Smith,AUT,R32
Smith,BEL,R32
Smith,BEL,R16
Smith,BIH,R32
Smith,BRA,R32
Smith,CAN,R32
Smith,COL,R32
Smith,CRO,R32
Smith,ECU,R32
Smith,EGY,R32
Smith,EGY,R16
Smith,ENG,R32
Smith,ENG,R16
Smith,FRA,R32
Smith,FRA,R16
Smith,FRA,quarter
Smith,FRA,semi
Smith,FRA,final
Smith,FRA,winner
Smith,GER,R32
Smith,GER,R16
Smith,GHA,R32
Smith,GHA,R16
Smith,GHA,quarter
Smith,CIV,R32
Smith,JPN,R32
Smith,JPN,R16
Smith,MEX,R32
Smith,MEX,R16
Smith,MAR,R32
Smith,NED,R32
Smith,NED,R16
Smith,NED,quarter
Smith,NOR,R32
Smith,NOR,R16
Smith,POR,R32
Smith,POR,R16
Smith,POR,quarter
Smith,SEN,R32
Smith,SEN,R16
Smith,SEN,quarter
Smith,SEN,semi
Smith,ESP,R32
Smith,ESP,R16
Smith,ESP,quarter
Smith,ESP,semi
Smith,ESP,third
Smith,SWE,R32
Smith,SUI,R32
Smith,USA,R32
MarcinC,ALG,R32
MarcinC,ARG,R32
MarcinC,ARG,R16
MarcinC,ARG,quarter
MarcinC,AUS,R32
MarcinC,AUT,R32
MarcinC,BEL,R32
MarcinC,BEL,R16
MarcinC,BIH,R32
MarcinC,BRA,R32
MarcinC,BRA,R16
MarcinC,BRA,quarter
MarcinC,CAN,R32
MarcinC,COL,R32
MarcinC,COL,R16
MarcinC,CRO,R32
MarcinC,ECU,R32
MarcinC,EGY,R32
MarcinC,EGY,R16
MarcinC,ENG,R32
MarcinC,ENG,R16
MarcinC,ENG,quarter
MarcinC,ENG,semi
MarcinC,ENG,final
MarcinC,ENG,winner
MarcinC,FRA,R32
MarcinC,FRA,R16
MarcinC,GER,R32
MarcinC,GER,R16
MarcinC,GER,quarter
MarcinC,GHA,R32
MarcinC,CIV,R32
MarcinC,JPN,R32
MarcinC,MEX,R32
MarcinC,MEX,R16
MarcinC,MAR,R32
MarcinC,NED,R32
MarcinC,NED,R16
MarcinC,NED,quarter
MarcinC,NED,semi
MarcinC,NED,third
MarcinC,NOR,R32
MarcinC,POR,R32
MarcinC,POR,R16
MarcinC,POR,quarter
MarcinC,POR,semi
MarcinC,SEN,R32
MarcinC,SEN,R16
MarcinC,ESP,R32
MarcinC,ESP,R16
MarcinC,ESP,quarter
MarcinC,ESP,semi
MarcinC,ESP,final
MarcinC,SUI,R32
MarcinC,SUI,R16
MarcinC,USA,R32
Adam B,ALG,R32
Adam B,ARG,R32
Adam B,ARG,R16
Adam B,ARG,quarter
Adam B,ARG,semi
Adam B,ARG,final
Adam B,AUS,R32
Adam B,AUS,R16
Adam B,AUT,R32
Adam B,BEL,R32
Adam B,BEL,R16
Adam B,BEL,quarter
Adam B,BIH,R32
Adam B,BRA,R32
Adam B,BRA,R16
Adam B,BRA,quarter
Adam B,BRA,semi
Adam B,CAN,R32
Adam B,CAN,R16
Adam B,COL,R32
Adam B,COL,R16
Adam B,COL,quarter
Adam B,CRO,R32
Adam B,ECU,R32
Adam B,ECU,R16
Adam B,EGY,R32
Adam B,ENG,R32
Adam B,ENG,R16
Adam B,ENG,quarter
Adam B,FRA,R32
Adam B,FRA,R16
Adam B,GER,R32
Adam B,GER,R16
Adam B,GER,quarter
Adam B,CIV,R32
Adam B,JPN,R32
Adam B,MEX,R32
Adam B,MEX,R16
Adam B,MAR,R32
Adam B,NED,R32
Adam B,NED,R16
Adam B,NED,quarter
Adam B,NED,semi
Adam B,NED,third
Adam B,NOR,R32
Adam B,POR,R32
Adam B,POR,R16
Adam B,SEN,R32
Adam B,ESP,R32
Adam B,ESP,R16
Adam B,ESP,quarter
Adam B,ESP,semi
Adam B,ESP,final
Adam B,ESP,winner
Adam B,SWE,R32
Adam B,SWE,R16
Adam B,SUI,R32
Adam B,USA,R32
Doug,ARG,R32
Doug,ARG,R16
Doug,ARG,quarter
Doug,ARG,semi
Doug,AUS,R32
Doug,AUT,R32
Doug,BEL,R32
Doug,BEL,R16
Doug,BIH,R32
Doug,BRA,R32
Doug,BRA,R16
Doug,BRA,quarter
Doug,CAN,R32
Doug,COL,R32
Doug,COL,R16
Doug,CRO,R32
Doug,ECU,R32
Doug,EGY,R32
Doug,EGY,R16
Doug,EGY,quarter
Doug,ENG,R32
Doug,ENG,R16
Doug,ENG,quarter
Doug,ENG,semi
Doug,ENG,final
Doug,ENG,winner
Doug,FRA,R32
Doug,FRA,R16
Doug,FRA,quarter
Doug,FRA,semi
Doug,FRA,third
Doug,GER,R32
Doug,GER,R16
Doug,GHA,R32
Doug,CIV,R32
Doug,JPN,R32
Doug,MEX,R32
Doug,MEX,R16
Doug,MAR,R32
Doug,NED,R32
Doug,NED,R16
Doug,NED,quarter
Doug,NOR,R32
Doug,NOR,R16
Doug,POR,R32
Doug,POR,R16
Doug,POR,quarter
Doug,SEN,R32
Doug,ESP,R32
Doug,ESP,R16
Doug,ESP,quarter
Doug,ESP,semi
Doug,ESP,final
Doug,SWE,R32
Doug,SWE,R16
Doug,SUI,R32
Doug,USA,R32
Dave L,ARG,R32
Dave L,ARG,R16
Dave L,ARG,quarter
Dave L,ARG,semi
Dave L,ARG,third
Dave L,AUS,R32
Dave L,AUT,R32
Dave L,BEL,R32
Dave L,BEL,R16
Dave L,BIH,R32
Dave L,BRA,R32
Dave L,BRA,R16
Dave L,BRA,quarter
Dave L,CAN,R32
Dave L,COL,R32
Dave L,COL,R16
Dave L,CRO,R32
Dave L,ECU,R32
Dave L,ENG,R32
Dave L,ENG,R16
Dave L,ENG,quarter
Dave L,ENG,semi
Dave L,ENG,final
Dave L,FRA,R32
Dave L,FRA,R16
Dave L,FRA,quarter
Dave L,FRA,semi
Dave L,FRA,final
Dave L,FRA,winner
Dave L,GER,R32
Dave L,GER,R16
Dave L,CIV,R32
Dave L,JPN,R32
Dave L,JPN,R16
Dave L,JPN,quarter
Dave L,MEX,R32
Dave L,MEX,R16
Dave L,MAR,R32
Dave L,NED,R32
Dave L,NED,R16
Dave L,NED,quarter
Dave L,NOR,R32
Dave L,NOR,R16
Dave L,PAR,R32
Dave L,PAR,R16
Dave L,POR,R32
Dave L,POR,R16
Dave L,POR,quarter
Dave L,ESP,R32
Dave L,ESP,R16
Dave L,ESP,quarter
Dave L,ESP,semi
Dave L,SWE,R32
Dave L,SUI,R32
Dave L,SUI,R16
