player,team,stage
Downsy,ESP,third
Downsy,SUI,R32
Downsy,SUI,R16
Downsy,USA,R32
Downsy,USA,R16
Downsy,USA,quarter
ESPN (Ryan O'Hanlon's tips),ARG,R32
ESPN (Ryan O'Hanlon's tips),ARG,R16
ESPN (Ryan O'Hanlon's tips),ARG,quarter
ESPN (Ryan O'Hanlon's tips),ARG,semi
ESPN (Ryan O'Hanlon's tips),ARG,final
ESPN (Ryan O'Hanlon's tips),AUT,R32
ESPN (Ryan O'Hanlon's tips),BEL,R32
ESPN (Ryan O'Hanlon's tips),BEL,R16
ESPN (Ryan O'Hanlon's tips),BRA,R32
ESPN (Ryan O'Hanlon's tips),CAN,R32
ESPN (Ryan O'Hanlon's tips),CAN,R16
ESPN (Ryan O'Hanlon's tips),CAN,quarter
ESPN (Ryan O'Hanlon's tips),COL,R32
ESPN (Ryan O'Hanlon's tips),COL,R16
ESPN (Ryan O'Hanlon's tips),COL,quarter
ESPN (Ryan O'Hanlon's tips),CRO,R32
ESPN (Ryan O'Hanlon's tips),CRO,R16
ESPN (Ryan O'Hanlon's tips),COD,R32
ESPN (Ryan O'Hanlon's tips),ECU,R32
ESPN (Ryan O'Hanlon's tips),ENG,R32
ESPN (Ryan O'Hanlon's tips),ENG,R16
ESPN (Ryan O'Hanlon's tips),ENG,quarter
ESPN (Ryan O'Hanlon's tips),FRA,R32
ESPN (Ryan O'Hanlon's tips),FRA,R16
ESPN (Ryan O'Hanlon's tips),FRA,quarter
ESPN (Ryan O'Hanlon's tips),FRA,semi
ESPN (Ryan O'Hanlon's tips),GER,R32
ESPN (Ryan O'Hanlon's tips),GER,R16
ESPN (Ryan O'Hanlon's tips),CIV,R32
ESPN (Ryan O'Hanlon's tips),JPN,R32
ESPN (Ryan O'Hanlon's tips),JPN,R16
ESPN (Ryan O'Hanlon's tips),MEX,R32
ESPN (Ryan O'Hanlon's tips),MEX,R16
ESPN (Ryan O'Hanlon's tips),MAR,R32
ESPN (Ryan O'Hanlon's tips),NED,R32
ESPN (Ryan O'Hanlon's tips),NED,R16
ESPN (Ryan O'Hanlon's tips),NOR,R32
ESPN (Ryan O'Hanlon's tips),NOR,R16
ESPN (Ryan O'Hanlon's tips),NOR,quarter
ESPN (Ryan O'Hanlon's tips),NOR,semi
ESPN (Ryan O'Hanlon's tips),NOR,third
ESPN (Ryan O'Hanlon's tips),PAR,R32
ESPN (Ryan O'Hanlon's tips),SEN,R32
ESPN (Ryan O'Hanlon's tips),ESP,R32
ESPN (Ryan O'Hanlon's tips),ESP,R16
ESPN (Ryan O'Hanlon's tips),ESP,quarter
ESPN (Ryan O'Hanlon's tips),ESP,semi
ESPN (Ryan O'Hanlon's tips),ESP,final
ESPN (Ryan O'Hanlon's tips),ESP,winner
ESPN (Ryan O'Hanlon's tips),SWE,R32
